# start pid=21614 os=Version 26.5.2 (Build 25F84)
# maximum-reserved-locales=5
# initial-reserved-locales=
# initial-installed-locales=de_DE,en_US
# initial-sample 2026-08-04T20:25:28.782Z;supported;supported;supported;installedDe=1;reservedDe=0;reservedCount=0;catalogMtime=1785870076;assetDirMtime=1785870226
# event reserve ok already-reserved=true
# post-reserve-reserved-locales=de_DE
2026-08-04T20:36:11.062Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:16.398Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:21.595Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:26.637Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:31.654Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:36.766Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:42.041Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:47.313Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:52.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:36:57.730Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:03.011Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:08.351Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:13.598Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:19.029Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:24.243Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:29.434Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:34.533Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:39.597Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:44.937Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:50.090Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:37:55.347Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:00.583Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:05.792Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:11.015Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:16.129Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:21.461Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:26.611Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:31.782Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:37.107Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:42.116Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:47.450Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:52.578Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:38:57.612Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:02.718Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
2026-08-04T20:39:08.006Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785875552;assetDirMtime=1785875552
